,index,O*NET-SOC Code,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
0,0,11-1011.00,8823,"They direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,87.0,07/2014,Incumbent
1,5,11-1011.00,8824,"They confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",Core,87.0,07/2014,Incumbent
2,2,11-1011.00,8825,"They analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",Core,87.0,07/2014,Incumbent
3,3,11-1011.00,8826,"They direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",Core,87.0,07/2014,Incumbent
4,4,11-1011.00,8827,"They prepare budgets for approval, including those for funding or implementation of programs.",Core,87.0,07/2014,Incumbent
5,10,11-1011.00,8829,"They negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",Core,87.0,07/2014,Incumbent
6,12,11-1011.00,8830,They review reports submitted by staff members to recommend approval or to suggest changes.,Core,87.0,07/2014,Incumbent
7,1,11-1011.00,8831,They appoint department heads or managers and assign or delegate responsibilities to them.,Core,87.0,07/2014,Incumbent
8,7,11-1011.00,8832,"They direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",Core,86.0,07/2014,Incumbent
9,9,11-1011.00,8833,"They preside over, or serve on, boards of directors, management committees, or other governing boards.",Core,87.0,07/2014,Incumbent
10,15,11-1011.00,8834,"They prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",Core,86.0,07/2014,Incumbent
11,8,11-1011.00,8835,They establish departmental responsibilities and coordinate functions among departments and sites.,Core,86.0,07/2014,Incumbent
12,6,11-1011.00,8836,They implement corrective action plans to solve organizational or departmental problems.,Core,87.0,07/2014,Incumbent
13,11,11-1011.00,8837,"They coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",Core,87.0,07/2014,Incumbent
14,13,11-1011.00,8839,"They deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",Core,87.0,07/2014,Incumbent
15,14,11-1011.00,8843,"They interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",Core,87.0,07/2014,Incumbent
16,17,11-1011.00,8846,"They administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",Core,87.0,07/2014,Incumbent
17,18,11-1011.00,8848,They direct or conduct studies or research on issues affecting areas of responsibility.,Core,87.0,07/2014,Incumbent
18,16,11-1011.00,20461,"They review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",Core,87.0,07/2014,Incumbent
19,19,11-1011.00,8828,"They direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",Supplemental,87.0,07/2014,Incumbent
20,24,11-1011.00,8838,"They direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",Supplemental,87.0,07/2014,Incumbent
21,26,11-1011.00,8840,"They serve as liaisons between organizations, shareholders, and outside organizations.",Supplemental,87.0,07/2014,Incumbent
22,30,11-1011.00,8842,They nominate citizens to boards or commissions.,Supplemental,87.0,07/2014,Incumbent
23,20,11-1011.00,8844,"They make presentations to legislative or other government committees regarding policies, programs, or budgets.",Supplemental,87.0,07/2014,Incumbent
24,21,11-1011.00,8845,They refer major policy matters to elected representatives for final decisions.,Supplemental,87.0,07/2014,Incumbent
25,22,11-1011.00,8847,They direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,Supplemental,87.0,07/2014,Incumbent
26,27,11-1011.00,8849,They attend and participate in meetings of municipal councils or council committees.,Supplemental,86.0,07/2014,Incumbent
27,29,11-1011.00,8850,They organize or approve promotional campaigns.,Supplemental,87.0,07/2014,Incumbent
28,23,11-1011.00,8851,"They conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",Supplemental,87.0,07/2014,Incumbent
